date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:20	104413/-1	---M--	200	added ('OK')	text/html	etag:%223069063-1628284879;;;%22	https://robertzou.com/	C:/My%20Web%20Sites/My%20Website/robertzou.com/index.html	(from )
15:21:20	122/122	---MCZ	200	added ('OK')	text/plain	etag:%223069064-1628284879;gz%22	https://robertzou.com/robots.txt		(from )
15:21:20	12098/12098	---M-Z	200	added ('OK')	application/javascript	etag:%222f42-5c8abe1980407%22	https://robertzou.com/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	C:/My%20Web%20Sites/My%20Website/robertzou.com/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	(from https://robertzou.com/)
15:21:20	80557/80557	---M-Z	200	added ('OK')	text/css	etag:%2213aad-5c8ea7158ea8e-gzip%22	https://robertzou.com/wp-content/litespeed/cssjs/0b13b.css?5ca56	C:/My%20Web%20Sites/My%20Website/robertzou.com/wp-content/litespeed/cssjs/0b13ba7b1.css	(from https://robertzou.com/)
15:21:20	1315/1315	---M-Z	200	added ('OK')	text/css	etag:%22523-5c8ea715909ce-gzip%22	https://robertzou.com/wp-content/litespeed/cssjs/f4f34.css?80d0d	C:/My%20Web%20Sites/My%20Website/robertzou.com/wp-content/litespeed/cssjs/f4f342876.css	(from https://robertzou.com/)
15:21:20	17664/17664	---M-Z	200	added ('OK')	text/css	etag:%224500-5c8ea71591d56-gzip%22	https://robertzou.com/wp-content/litespeed/cssjs/31ebb.css?826f5	C:/My%20Web%20Sites/My%20Website/robertzou.com/wp-content/litespeed/cssjs/31ebb50bb.css	(from https://robertzou.com/)
15:21:21	28047/28047	---M-Z	200	added ('OK')	text/css	etag:%226d8f-5c8ea715934c6-gzip%22	https://robertzou.com/wp-content/litespeed/cssjs/70d7f.css?98271	C:/My%20Web%20Sites/My%20Website/robertzou.com/wp-content/litespeed/cssjs/70d7f0780.css	(from https://robertzou.com/)
15:21:21	31003/31003	---M-Z	200	added ('OK')	text/css	etag:%22791b-5c8ea71594c36-gzip%22	https://robertzou.com/wp-content/litespeed/cssjs/46a9f.css?686ea	C:/My%20Web%20Sites/My%20Website/robertzou.com/wp-content/litespeed/cssjs/46a9f6ca0.css	(from https://robertzou.com/)
15:21:21	18294/18294	---M-Z	200	added ('OK')	text/css	etag:%224776-5c8ea71595fbe-gzip%22	https://robertzou.com/wp-content/litespeed/cssjs/fa763.css?36071	C:/My%20Web%20Sites/My%20Website/robertzou.com/wp-content/litespeed/cssjs/fa763e602.css	(from https://robertzou.com/)
15:21:21	36572/36572	---M-Z	200	added ('OK')	text/css	etag:%228edc-5c8ea7159d8d7-gzip%22	https://robertzou.com/wp-content/litespeed/cssjs/d0106.css?daefe	C:/My%20Web%20Sites/My%20Website/robertzou.com/wp-content/litespeed/cssjs/d01065322.css	(from https://robertzou.com/)
